tax_id	abundance	species	genus	family	order	class	phylum	domain	estimated counts
249674484	0.0007392132231368513	Borreliella garinii	Borreliella	Borreliaceae	Borreliales	Spirochaetia	Spirochaetota	Bacteria	37.4928946775011
172468710	0.1453444716179387	Staphylococcus argenteus	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	7371.871600461851
1005789060	0.0016535882465459118	Staphylococcus simiae	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	83.86999586480864
1723148556	0.06445098290233428	Bifidobacterium adolescentis	Bifidobacterium_388775	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	3268.953852806395
382293794	0.019440063091532893	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales_778489	Chlamydiia	Chlamydiota	Bacteria	986.0000000025483
671167758	0.007197551996644593	Bacillus_P_294101 halotolerans	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	365.0598372698138
2044984071	0.0013690991780720516	Bacillus_P_294101 velezensis	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	69.44071031181446
503474378	0.0013352373940006895	Enterococcus_B faecium	Enterococcus_B	Enterococcaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	67.72324062371497
1969112428	0.001144165646400307	Shigella dysenteriae	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	58.03208158542357
1083756244	0.013827183698603017	Escherichia ruysiae	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	701.314757193145
561101225	0.00045596058836646784	Shigella flexneri	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	23.12632104194725
1446833230	0.010574394839018087	Shigella sonnei	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	536.3333062349974
2087647928	0.006223501248656686	Escherichia albertii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	315.6559833318671
1155214706	0.0006634476306697536	Escherichia fergusonii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	33.6500638275699
1534274278	0.0005393584759121483	Staphylococcus haemolyticus	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	27.35626189826416
421731111	0.0003154574132492114	Veillonella_A parvula	Veillonella_A	Veillonellaceae	Veillonellales	Negativicutes	Bacillota_C	Bacteria	16.0
229406851	0.0003342675067015721	Klebsiella granulomatis	Klebsiella_724518	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	16.954047939903738
1965385813	0.00028232678512150563	Pseudomonas_F_650324 furukawaii	Pseudomonas_F_650324	Pseudomonadaceae	Pseudomonadales_A_650611	Gammaproteobacteria	Pseudomonadota	Bacteria	14.319614541362766
1267684071	0.0003154574132492114	Bacteroides_H_857956 fragilis	Bacteroides_H_857956	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	16.0
unmapped	0.0								1020.0
mapped_unclassified	0.0								89.0
