locus_tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IODOLM_01236	565.665655746189	-0.831428552079335	0.216727193247333	-3.83629086697253	0.000124906464624303	0.000297383399997797
IODOLM_00661	423.10413990674	0.848834015423546	0.221323239058859	3.83526835696548	0.000125427270609248	0.000298298769666343
IODOLM_04325	161.978475132001	0.746801796011545	0.194714212249727	3.83537384037355	0.000125373449075702	0.000298298769666343
IODOLM_01510	831.279438251978	-0.508193944483012	0.132519286039182	-3.83486781186516	0.000125631841952644	0.000298622998579452
IODOLM_00046	279.91633838334	0.620797299390969	0.161923864161383	3.83388392196623	0.00012613568224323	0.00029965784228902
IODOLM_01346	618.287869003469	-0.943643138206335	0.246427297940669	-3.82929629181557	0.000128510208944016	0.000305133301323394
IODOLM_02271	57.2358670412329	-1.08409434633273	0.283120481372871	-3.82909191548377	0.000128616966802641	0.000305221175015379
IODOLM_01833	13.6829993757389	2.40425549487299	0.62832126724541	3.82647479913159	0.000129991450530382	0.000308315765594011
IODOLM_01133	557.888016367608	-0.537653971984216	0.140600720409101	-3.82397736241908	0.000131315977081286	0.000311288578389874
IODOLM_02095	1016.61526072065	-0.845038148590836	0.221017939833605	-3.82339166326058	0.00013162844092754	0.000311860345153716
IODOLM_00233	387.939250011543	0.590326042980449	0.154738338698152	3.81499535245754	0.00013618549659657	0.000322482539559843
IODOLM_01681	67.1092587059573	0.987301977972223	0.258938260388939	3.81288565270055	0.000137353669610708	0.000325072827591378
IODOLM_03629	1411.37842377589	-0.551659894817522	0.144720798833666	-3.81189089103611	0.000137907753163049	0.00032620774477919
IODOLM_01065	388.736933936854	-0.646390727982309	0.169584265669339	-3.81161970086696	0.00013805917128893	0.000326389483284904
IODOLM_02644	1285.41547693084	-0.794520903560112	0.208557371614442	-3.80960355133807	0.000139189801574851	0.000328884757932801
IODOLM_01851	510.58641887338	-0.653098250678033	0.171463951752879	-3.80895368385832	0.000139556093577088	0.000329572296542546
IODOLM_02356	67.6465594912163	0.937164539125607	0.246128753749311	3.80761908086584	0.000140311179453308	0.000331176764448586
